Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GBPS DOULAT PUR,Sohbat Pur,28.4488371910062,68.6572989422279,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,7.6
GBPS MEWA KHAN,Sohbat Pur,28.4780778349721,68.6296154086443,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,6.52
GBPS MEWA KHAN,Sohbat Pur,28.4780778349721,68.6296154086443,Akbar khayazai,Sohbat Pur,6.94
GBPS MIR HASSAN KHOSA,Sohbat Pur,28.5258198446456,68.615018253863,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,6.75
GBPS MIR HASSAN KHOSA,Sohbat Pur,28.5258198446456,68.615018253863,Akbar khayazai,Sohbat Pur,1.53
GBHS HAIR DIN,Sohbat Pur,28.52346587,68.67257866,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,1.46
GBHS HAIR DIN,Sohbat Pur,28.52346587,68.67257866,Akbar khayazai,Sohbat Pur,6.68
GBHS HAIR DIN,Sohbat Pur,28.52346587,68.67257866,Goth Gul Sher Kandrani,Sohbat Pur,9.69
GBMIDS GHULAM RASOOL AKBAR KHAN JARWAR,Sohbat Pur,28.53437929,68.6117974,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,7.3
GBMIDS GHULAM RASOOL AKBAR KHAN JARWAR,Sohbat Pur,28.53437929,68.6117974,Akbar khayazai,Sohbat Pur,0.64
GBPS ALLAHABAD,Sohbat Pur,28.5147414820364,68.6011691871071,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,7.97
GBPS ALLAHABAD,Sohbat Pur,28.5147414820364,68.6011691871071,Akbar khayazai,Sohbat Pur,2.53
GBPS JARWAR,Sohbat Pur,28.52574764,68.62772541,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,5.54
GBPS JARWAR,Sohbat Pur,28.52574764,68.62772541,Akbar khayazai,Sohbat Pur,2.46
GBPS UMAR KHAN KHOSA,Sohbat Pur,28.5267720600696,68.5863650433984,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,9.53
GBPS UMAR KHAN KHOSA,Sohbat Pur,28.5267720600696,68.5863650433984,Akbar khayazai,Sohbat Pur,2.25
GBPS NOZ BUND,Sohbat Pur,28.5418559982332,68.5708958037554,Akbar khayazai,Sohbat Pur,3.49
GBPS ABDUL FATEH,Sohbat Pur,28.56739865,68.58046208,Kareem Bakash Khosa,Sohbat Pur,8.78
GBPS ABDUL FATEH,Sohbat Pur,28.56739865,68.58046208,Akbar khayazai,Sohbat Pur,4.19
GBPS MOHABAT KHAN,Sohbat Pur,28.5827144547359,68.5947482760111,Kareem Bakash Khosa,Sohbat Pur,8.85
GBPS MOHABAT KHAN,Sohbat Pur,28.5827144547359,68.5947482760111,Akbar khayazai,Sohbat Pur,5.17
GBPS HABIBULLAH,Sohbat Pur,28.57244291,68.58382472,Kareem Bakash Khosa,Sohbat Pur,8.64
GBPS HABIBULLAH,Sohbat Pur,28.57244291,68.58382472,Akbar khayazai,Sohbat Pur,4.48
GBMIDS ROSHAN UD DIN KHAN KHOSA,Sohbat Pur,28.6381612476663,68.5165871062124,Kareem Bakash Khosa,Sohbat Pur,1.64
GBPS KAHLAN,Sohbat Pur,28.6267023352572,68.5090515977341,Kareem Bakash Khosa,Sohbat Pur,0.85
GBPS NASIB ULLAH KHAN KHOSA,Sohbat Pur,28.6272712764428,68.4895140026693,Kareem Bakash Khosa,Sohbat Pur,2.71
GBPS NASIB ULLAH KHAN KHOSA,Sohbat Pur,28.6272712764428,68.4895140026693,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,9.02
GBPS DEH DANDA,Sohbat Pur,28.6044620559396,68.498590792247,Kareem Bakash Khosa,Sohbat Pur,2.75
GBPS DEH DANDA,Sohbat Pur,28.6044620559396,68.498590792247,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,8.85
GBPS LAL MUHAMMAD ISKAR BUGTI,Sohbat Pur,28.560694773894,68.6197605710881,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,8.06
GBPS LAL MUHAMMAD ISKAR BUGTI,Sohbat Pur,28.560694773894,68.6197605710881,Akbar khayazai,Sohbat Pur,2.93
GBHS DEH GHARI,Sohbat Pur,28.6053015778951,68.450453305336,Kareem Bakash Khosa,Sohbat Pur,6.8
