Target_BEMIS_Code,SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Nearest_Progression_BEMIS_Code,Distance_to_Nearest_KM,Progression_School_District
13328,GGPS HAJI MUHAMMAD RASOOL,CHAMAN,Primary,Middle,Girls,Standard,66.5139569201346,30.9401666448343,3,Found 3 gender-matching Middle schools within 5.0km,GGMIDS HAJI CHARGUL,12254,3.34,CHAMAN
13396,GGPS SAAT MARLA,KHUZDAR,Primary,Middle,Girls,Standard,66.6380416666666,27.8039516666666,10,Found 10 gender-matching Middle schools within 5.0km,GGMIDS LATIF ABAD KHATTAN,9977,0.43,KHUZDAR
14203,GBPS ALI BAKHSH SASOLI,NASEER ABAD,Primary,Middle,Boys,Standard,68.3363636829292,28.5233576079258,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS ABDUL RAZAQUE UMARANI.,7552,2.65,NASEER ABAD
14247,GBPS BAZI GEER KHUZDAR,KHUZDAR,Primary,Middle,Boys,Standard,66.60348392,27.83728026,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS MUHALLAH GAZGI,3738,1.45,KHUZDAR
14383,GBPS KAKA ZAI,PISHIN,Primary,Middle,Boys,Standard,66.903525,30.7423616666666,5,Found 5 gender-matching Middle schools within 5.0km,GBMIDS HAJIAN SHAKERZAI,1225,1.3,PISHIN
14426,GBPS HUZOOR BAKHSH DOMKI,SOHBAT PUR,Primary,Middle,Boys,Standard,68.3727031,28.43001853,6,Found 6 gender-matching Middle schools within 5.0km,GBMIDS HAJI ABDUL MAJEED KHOSA,8794,1.75,SOHBAT PUR
14485,GBPS GORGAGE JADEED,NOSHKI,Primary,Middle,Boys,Standard,65.80022,29.2493366666666,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS SAR MAL,6684,1.84,NOSHKI
14488,GBPS MUHAMMAD HASHIM,NOSHKI,Primary,Middle,Boys,Standard,65.50721111,29.07603521,0,No gender-matching Middle schools within 5.0km,,,,
14607,GGMIDS CHILTAN SCHEME,QUETTA,Middle,High,Girls,Standard,66.9719438719621,30.2585593386906,31,Found 31 gender-matching High schools within 5.0km,GGHS KILLI GUL MUHAMMED,3415,1.32,QUETTA
14701,"GBMIDS KILLI JAMALHAN, JANAT ALI",KOHLU,Middle,High,Boys,Standard,69.18812547,29.34416953,0,No High schools within 5.0km,,,,
14746,GBMIDS GOTH RAZA MUHAMMAD LEHRI FAROOQABAD DMJ,NASEER ABAD,Middle,High,Boys,Standard,68.2852130381257,28.4421974039475,4,Found 4 gender-matching High schools within 5.0km,GBHS SHAFI MUHAMMAD UMRANI,7598,1.7,NASEER ABAD
14861,GBPS MADRASSA HARAM ZAI,SHERANI,Primary,Middle,Boys,Standard,69.6895866076106,31.5049852324375,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS KILLI NEIKAN,8917,1.71,SHERANI
15033,GGMIDS NAIK MOHD. MARDANZAI SH: KILLI (LATE) HAJI NAIK MOHD,LORALAI,Middle,High,Girls,Standard,68.60934783,30.38219522,6,Found 6 gender-matching High schools within 5.0km,GGHS PAHARHI MUHALLAH,12156,0.64,LORALAI
15035,GBPS MADRASSA MATEE-UL-ALOOM JHANGAIR SH,DUKI,Primary,Middle,Boys,Standard,68.8442908297862,30.0623652352277,0,No gender-matching Middle schools within 5.0km,,,,
15148,GBPS GHULAM QADAR MARI,NASEER ABAD,Primary,Middle,Boys,Standard,68.0256825290259,28.4321700141596,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS DILMURAD GOLA (SODHA GOLA),7462,2.23,NASEER ABAD
15288,GBPS DILWANI,HARNAI,Primary,Middle,Boys,Standard,67.3941077332632,30.1796572676399,0,No Middle schools within 5.0km,,,,
15498,GBPS RONJAN MASHKEY,AWARAN,Primary,Middle,Boys,Standard,65.7440541458974,27.4346102257755,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS RONJAN NO 1,6922,2.18,AWARAN
15697,GBPS DOCTOR ABDUL SADIQ,KILLA ABDULLAH,Primary,Middle,Boys,Standard,66.7270903641658,30.6864554354031,9,Found 9 gender-matching Middle schools within 5.0km,GBMIDS SAZO PIR ALI ZAI,1542,1.19,KILLA ABDULLAH
15839,GBPS GOTH SHAHBAZ KHAN KATOR,JAFER ABAD,Primary,Middle,Boys,Standard,68.30922,28.3590516666666,7,Found 7 gender-matching Middle schools within 5.0km,GBMIDS MOHIB ALI KHOSA,5339,0.31,JAFER ABAD
15992,GBPS HAJI LALA KHAN BADEZAI PASHTON ABAD,QUETTA,Primary,Middle,Boys,Standard,67.0336071286606,30.1577694791908,14,Found 14 gender-matching Middle schools within 5.0km,GBMIDS NASAR ABAD QUETTA,4992,1.12,QUETTA
16249,GGPS Killi Hussain Abad,KHUZDAR,Primary,Middle,Girls,Standard,66.59502,27.8856883333333,7,Found 7 gender-matching Middle schools within 5.0km,GGMIDSS BAZGIR,10851,2.5,KHUZDAR
16298,GGPS New Mitho,JHAL MAGSI,Primary,Middle,Girls,Standard,67.5053175693643,27.9725366661743,1,Found 1 gender-matching Middle schools within 5.0km,GGMIDS KEHNA KHICHI,13046,0.84,JHAL MAGSI
