SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GBPS DEH GHULAM MUHAMMAD,BARKHAN,Primary,Middle,Boys,Standard,69.9290204788422,30.1037858537724,5,Found 5 Middle schools within 6.0km,GGMIDS BASTI HAJI ALLAH BAKHSH RAKHNI,1.28,BARKHAN
GBPS TAJ MUHAMMAD LUNDI,BARKHAN,Primary,Middle,Boys,Standard,69.8238624349225,30.1718711294592,1,Found 1 Middle schools within 6.0km,GBMIDS TAGHAO,2.62,BARKHAN
GBMIDS HAJI ZAREEN LOOP,BARKHAN,Middle,High,Boys,Standard,69.889413575877,30.3217436858404,5,Found 5 High schools within 6.0km,GBHS BASTI AMIR MUHAMMAD,1.19,BARKHAN
GBPS QAZI MIR WAH,SIBI,Primary,Middle,Boys,Standard,68.2254439617658,29.1577581625422,4,Found 4 Middle schools within 6.0km,GBMIDS MUHALLAH ARAIN,1.71,SIBI
GBPS HINDO MUHALLAH LEHRI,SIBI,Primary,Middle,Boys,Standard,68.2095526988326,29.1821482373657,4,Found 4 Middle schools within 6.0km,GBMIDS MUHALLAH ARAIN,0.37,SIBI
GBPS HINDO MUHALLAH BAKHTIAR ABAD DOMKI,SIBI,Primary,Middle,Boys,Standard,68.012023127104,28.9901912883363,0,Found 0 Middle schools within 6.0km,,,
GBMIDS BASTI GOYA,KACHHI,Middle,High,Boys,Standard,67.813495870064,29.0408126912303,5,Found 5 High schools within 6.0km,GBHS BHAG,0.97,KACHHI
GBPS KHAIR WAH,SIBI,Primary,Middle,Boys,Standard,68.080075,29.1621716666666,1,Found 1 Middle schools within 6.0km,GGMIDS KHAIR WAH,0.54,SIBI
GBPS MUHAMMAD SIDDIQ BANGULZAI,NASEER ABAD,Primary,Middle,Boys,Standard,68.2378243952516,28.5738438546108,16,Found 16 Middle schools within 6.0km,GGMIDS QAIMUDDIN LASHARI /RANA KHAN RIND,1.11,NASEER ABAD
GBMIDS AFZAL ABAD,NASEER ABAD,Middle,High,Boys,Standard,68.0841838085461,28.4700855326632,6,Found 6 High schools within 6.0km,GGHS MIR BEHRAM KHAN BULIDI,4.08,NASEER ABAD
GBMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,Middle,High,Boys,Standard,68.1056424545066,28.4670284008487,6,Found 6 High schools within 6.0km,GBHS MIR GUL JATAK,2.54,NASEER ABAD
GBMIDS DILMURAD GOLA (SODHA GOLA),NASEER ABAD,Middle,High,Boys,Standard,68.0409305205184,28.3972210122881,4,Found 4 High schools within 6.0km,GBHS YAR MUHAMMAD LEHRI,2.64,NASEER ABAD
GBPS DAD MUHAMMAD ZEHRI,NASEER ABAD,Primary,Middle,Boys,Standard,68.079841475854,28.3969612680612,13,Found 13 Middle schools within 6.0km,GBMIDS WADERA SHAKAR KHAN,1.52,NASEER ABAD
GBPS ATTAULLAH BULADI.,NASEER ABAD,Primary,Middle,Boys,Standard,68.0708817247422,28.3486438181792,8,Found 8 Middle schools within 6.0km,GBMIDS LUTAF ALI JAMALI,2.22,JAFER ABAD
