S.no,BemisCode,District,Tehsil,UC,SchoolName,gps_Point,_xCord,_yCord
114,45099,Dera Bugti,Sui,Gandoi,Killi Essa Khan,,,
115,45101,Dera Bugti,Sui,Gandoi,Killi Pazhool,,,
116,45388,Duki,Duki,Nana Sahib Thall,Killi Mullla Amir Muhammad,29.994432 69.0519646,29.994432,69.0519646
117,45389,Duki,Duki,Hosri,Killi Sahibzadagan,30.0417475 69.1530786,30.0417475,69.1530786
118,45390,Duki,Duki,Hosri,Killi Warezai,30.02039 69.1459976,30.02039,69.1459976
119,45391,Duki,Duki,Tahal Duki,Killi Malak Qasam Rabat,30.2181806 68.5593612,30.2181806,68.5593612
120,45392,Duki,Duki,luni,Killi Umar babogan,30.0553111 68.9905361,30.0553111,68.9905361
121,45393,Duki,Duki,Nana Sahib Thall,Khwaj Muhammad ,30.0076093 68.8477241,30.0076093,68.8477241
122,45394,Duki,Duki,Nana Sahib Thall,Nasai abad Nana sahib,30.0516362 68.900918,30.0516362,68.900918
123,45395,Duki,Duki,Yaro Shar,Malak Aslam Shadozai,30.0324286 68.684384,30.0324286,68.684384
124,45396,Duki,Duki,Yaro Shar,Jalar Kalla,30.029995 68.5938047,30.029995,68.5938047
125,45397,Duki,Duki,Mala Shao,Killi Manrki Hassan khan,30.2227378 69.0050266,30.2227378,69.0050266
126,45683,Duki,Duki,,Hilmand Abad,30.1435481 68.5215545,30.1435481,68.5215545
127,45684,Duki,Duki,,Akbar kamal khail zalar,30.0385721 68.564559,30.0385721,68.564559
128,45728,Duki,Talao,Talao,Killi Tallao Daman,30.3123662 69.2307148,30.3123662,69.2307148
129,45102,Gawadar,Gwadar,Pishkan,Wadh Saiji,25.4250238 62.066594,25.4250238,62.066594
130,45103,Gawadar,Pasni,Kallag,Johi,25.4626504 63.1120421,25.4626504,63.1120421
131,45104,Gawadar,Pasni,Kallag,Chatti,25.4904405 63.3024104,25.4904405,63.3024104
132,45105,Gawadar,Pasni,Kallag,Sindh Bazar,25.4591523 63.2285779,25.4591523,63.2285779
133,45106,Gawadar,Pasni,Kallag,Jami Bazar Sanadi,25.3871568 63.7935071,25.3871568,63.7935071
134,45107,Gawadar,Pasni,Nalaint,Kittagi,25.4170758 62.7668763,25.4170758,62.7668763
135,45108,Gawadar,Pasni,Kallag,Junz,25.4496133 63.15363,25.4496133,63.15363
136,45109,Gawadar,Pasni,Kallag,Salach,25.3538469 63.4363367,25.3538469,63.4363367
137,45110,Gawadar,Pasni,Nalaint,Chukain,25.3516321 62.9120791,25.3516321,62.9120791
138,45111,Gawadar,Pasni,Nalaint,Hotag ,25.3532102 63.0768956,25.3532102,63.0768956
139,45112,Gawadar,Pasni,Nalaint,Bezanjo Bazar,25.4324122 62.7865512,25.4324122,62.7865512
140,45635,Harnai,Harnai,Nakus,Killi Akhtari Bangla,30.1898871 67.8859251,30.1898871,67.8859251
141,45637,Harnai,Sharigh,Khost,sara kala/Imran Zai,30.2066783 67.698825,30.2066783,67.698825
142,45638,Harnai,Sharigh,Khost,Killi Sor Dabak ,30.2797778 67.5206231,30.2797778,67.5206231
143,45640,Harnai,Harnai,Saddar,Killi Spanda Harnai,30.0592627 67.971406,30.0592627,67.971406
144,45641,Harnai,Sharigh,Sharighg ,Killi Mangal Abad,30.2004251 67.6695204,30.2004251,67.6695204
145,45642,Harnai,Sharigh,Sharighg ,Killi Muhammad Gull,30.1877044 67.6896851,30.1877044,67.6896851
146,45643,Harnai,Sharigh,Sharighg ,Killi Sheikh Musa Baba,30.2204194 67.7031076,30.2204194,67.7031076
147,45644,Harnai,Harnai,Spin tangei,Killi Dobandai,29.9192258 68.0821232,29.9192258,68.0821232
148,45645,Harnai,Harnai,Spin tangei,Killi sunnari ,30.0257534 68.0446932,30.0257534,68.0446932
149,45647,Harnai,Harnai,Spin tangei,CS Workshop Colony,30.1582899 67.7203833,30.1582899,67.7203833
150,45648,Harnai,Harnai,Spin tangei,Killi Khawai Zahoor,30.0201988 68.0583919,30.0201988,68.0583919
151,45649,Harnai,Harnai,Nakus,Killi Waham Tangai,30.2354481 67.9011918,30.2354481,67.9011918
152,45650,Harnai,Harnai,Spin tangei,Killi Shin kach,,,
153,45669,Harnai,Sharag,,Killi Shah Mardan,30.1899609 67.6407307,30.1899609,67.6407307
154,45352,Hub,Hub,Bela,Goth Siddique/Al khalid Town,26.2887 66.2551,26.2887,66.2551
155,45078,Jaffarabad,Jhat Pat,Dear Allah yar,Madrassa Farooqia,,,
156,45115,Jaffarabad,Band Manik,Jhat Pat,Mir Hassan Lahri,28.3525191 68.3186986,28.3525191,68.3186986
157,45116,Jaffarabad,Jhat Pat,Challgari,Wasam Khan Challgari,28.364539 68.1138579,28.364539,68.1138579
158,45117,Jaffarabad,Jhat Pat,Challgari,Chaker Khan Zahri,28.3199695 68.114326,28.3199695,68.114326
159,45118,Jaffarabad,Jhat Pat,Hafeezabad,Shah Murad Zahri,28.4015314 68.2134797,28.4015314,68.2134797
160,45119,Jaffarabad,Naseerabad,Jhat Pat,Ali Gul Qalandrani,28.4493984 68.3336704,28.4493984,68.3336704
161,45121,Jaffarabad,Naseerabad,Jhat Pat,Mohboob Muhammad HASSANI,28.4441803 68.3216322,28.4441803,68.3216322
162,45122,Jaffarabad,Ramzaypur,Jhat Pat,Qaiser Khan Higwani,28.4016659 68.2974279,28.4016659,68.2974279
163,45123,Jaffarabad,Ramzaypur,Jhat Pat,Shakal Khan Talani,28.3947689 68.3525842,28.3947689,68.3525842
164,45124,Jaffarabad,Jhat Pat,Ramzaypur,Muhammad Yousif Rind,28.385457 68.2473472,28.385457,68.2473472
165,45125,Jaffarabad,Jhat Pat,Ramzaypur,Juma Khan Khosa,28.389873 68.2637518,28.389873,68.2637518
166,45126,Jaffarabad,Jhat Pat,Samoo,Mir Muhammad Rind / Juma Khan Zehri,28.410872 68.2164413,28.410872,68.2164413
167,45127,Jaffarabad,Jhat Pat,Samoo,Dili Jan Jamali,28.3611877 68.1901583,28.3611877,68.1901583
168,45128,Jaffarabad,Jhat Pat,Sorah,Ali Hyder Challgari,28.2700417 68.1496396,28.2700417,68.1496396
169,45129,Jaffarabad,Jhat Pat,Jat Grah,Jani Marri,28.3657052 68.2330319,28.3657052,68.2330319
170,45130,Jaffarabad,Jhat Pat,Challgari,Mehboobabad,28.3783026 68.1202736,28.3783026,68.1202736
171,45131,Jaffarabad,Challgari,Jhat Pat,Ghulam Mustafa Lashari,28.371158 68.1327254,28.371158,68.1327254
172,45693,Jaffarabad,Jat Pat,Ramzay pur,Goth Muhammad Amin Jahalrani,28.4379501 68.2257481,28.4379501,68.2257481
173,45138,Jhal Magsi,Gandawah,Barija,Geloo Ahmed Khan,28.7303761 67.4189566,28.7303761,67.4189566
174,45139,Jhal Magsi,Gandawah,Gandawah,Lal Mohammad Lashari,28.6584124 67.5254102,28.6584124,67.5254102
175,45140,Jhal Magsi,Jhal Magsi,Barija,Misri Khan,28.5790897 67.4316413,28.5790897,67.4316413
176,45141,Jhal Magsi,Gandawah,Pir Pur,Pat Kalara/ Jaan Mohd,28.1608352 67.5985999,28.1608352,67.5985999
177,45142,Jhal Magsi,Gandawah,Barija,Bad Ram Toina,28.1232697 67.5135338,28.1232697,67.5135338
178,45143,Jhal Magsi,Gandawah,Hatyari,Mohd Umar Magsi,28.1796792 67.6188889,28.1796792,67.6188889
179,45144,Jhal Magsi,Gandawah,Patri,Safil Khan Tonia/Goth Muhammad Anwar Somro,28.1227954 67.5105509,28.1227954,67.5105509
180,45145,Jhal Magsi,Jhal Magsi,Jhal Magsi,Abdul Rehman Dharkani,28.1974579 67.6038555,28.1974579,67.6038555
